time,submitted,remote,running,completed
2051.82071495,0,264,28,4
2056.88262486,0,261,31,0
2061.93954301,0,261,31,0
2066.99793291,0,261,31,0
2072.0553298,0,261,31,0
2077.1081419,0,261,31,0
2082.16047788,0,261,31,0
2087.21191978,0,260,32,0
2092.27719784,0,256,31,5
2097.33642983,0,248,31,1
2102.39218688,0,248,31,0
2107.44687796,0,247,32,0
2112.53021097,0,243,34,2
2117.60321188,0,243,32,2
2122.65850592,0,243,32,0
2127.71381998,0,243,32,0
2132.76960588,0,243,32,0
2137.82499599,0,242,32,1
2142.88058782,0,242,32,0
2147.93573689,0,242,32,0
2152.98987699,0,232,33,9
2158.04788184,0,223,38,4
2163.15291882,0,223,38,0
2168.20591497,0,223,38,0
2173.25993991,0,223,38,0
2178.31588197,0,223,38,0
2183.38063788,0,223,38,0
2188.43587685,0,223,38,0
2193.49187899,0,223,38,0
2198.54890895,0,223,37,1
2203.60287881,0,223,37,0
2208.65787697,0,223,36,1
2213.7128768,0,223,36,0
2218.77887797,0,220,27,12
2223.83688402,0,220,27,0
2228.8898778,0,218,29,0
2233.95386887,0,212,34,1
2239.00691891,0,205,38,3
2244.05891395,0,204,38,1
2249.1108849,0,204,38,0
2254.16488099,0,204,38,0
2259.22187281,0,204,38,0
2264.27862096,0,204,38,0
2269.32487679,0,204,38,0
2274.38687301,0,203,39,0
2279.47863388,0,203,37,2
2284.55262399,0,203,20,17
2289.61323786,0,202,21,0
2294.66968894,0,201,22,0
2299.72887802,0,186,37,0
2304.78587699,0,185,38,0
2309.83887601,0,185,38,0
2314.88987684,0,185,38,0
2319.94087601,0,185,38,0
2324.99587679,0,185,38,0
2330.048877,0,185,38,0
2335.10160279,0,185,38,0
2340.15589094,0,185,38,0
2345.20587587,0,185,35,3
2350.26075697,0,185,33,2
2355.30562091,0,184,33,1
2360.36687493,0,166,38,13
2365.42887402,0,166,38,0
2370.48287702,0,166,38,0
2375.53487802,0,166,38,0
2380.58687687,0,166,38,0
2385.64287686,0,166,38,0
2390.69535899,0,166,38,0
2395.74760079,0,166,38,0
2400.806602,0,166,37,1
2405.85960197,0,166,37,1
2410.91371083,0,165,38,0
2415.95762396,0,162,40,1
2421.01187491,0,154,42,6
2426.06070685,0,147,38,11
2431.10587287,0,147,38,0
2436.15287781,0,147,38,0
2441.20962882,0,147,38,0
2446.25587797,0,147,38,0
2451.30487585,0,147,38,0
2456.35587692,0,147,38,0
2461.4048779,0,147,38,0
2466.45387697,0,147,38,0
2471.5008769,0,147,38,0
2476.54966092,0,147,38,0
2481.5999248,0,142,38,5
2486.64991689,0,119,47,14
2491.69389796,0,115,51,0
2496.73587894,0,115,51,0
2501.78087687,0,115,51,0
2506.82687879,0,115,51,0
2511.87387681,0,115,51,0
2516.92087793,0,115,51,0
2521.96788383,0,115,51,0
2527.01287794,0,115,51,0
2532.06488299,0,115,50,1
2537.11620498,0,115,47,3
2542.15887594,0,115,39,8
2547.20625687,0,90,57,7
2552.98485494,0,80,67,0
2558.03587294,0,80,67,0
2563.09288502,0,80,67,0
2568.15264392,0,80,67,0
2573.22564197,0,80,67,0
2578.28187799,0,80,67,0
2583.33287883,0,80,67,0
2588.37887883,0,80,67,0
2593.43092895,0,80,67,0
2598.47192097,0,80,67,0
2603.51292682,0,79,66,2
2608.56591702,0,64,53,28
2613.605932,0,45,70,2
2618.64362097,0,45,70,0
2623.67661381,0,45,70,0
2628.71787691,0,45,70,0
2633.75887799,0,45,70,0
2638.79987979,0,45,70,0
2643.84287786,0,45,70,0
2648.8818779,0,44,71,0
2653.92287779,0,44,71,0
2658.96487689,0,43,72,0
2664.00388694,0,42,72,1
2669.07061696,0,12,80,22
2674.11287689,0,7,72,13
2679.14956784,0,7,72,0
2684.19178391,0,7,72,0
2689.2338779,0,7,72,0
2694.27291799,0,7,72,0
2699.30510688,0,7,72,0
2704.34687781,0,7,72,0
2709.382864,0,7,72,0
2714.41888189,0,6,72,1
2719.46387696,0,6,71,1
2724.50187993,0,4,71,2
2729.56378293,0,0,56,19
2734.6278789,0,0,42,14
2739.66886783,0,0,42,0
2744.707618,0,0,42,0
2749.74087691,0,0,42,0
2754.77287984,0,0,42,0
2759.80587792,0,0,42,0
2764.83887696,0,0,42,0
2769.87087893,0,0,42,0
2774.90591383,0,0,42,0
2779.93260288,0,0,42,0
2784.96687794,0,0,41,1
2790.0008769,0,0,12,24
2795.09787488,0,0,12,23
2800.14687181,0,0,4,8
2805.17899394,0,0,4,0
2810.21102691,0,0,4,0
2815.23998499,0,0,4,0
2820.26797581,0,0,4,0
2825.29488492,0,0,4,0
2830.323879,0,0,4,0
2835.35191679,0,0,4,0
2840.37787294,0,0,4,0
2845.40387702,0,0,4,0
2850.43305302,0,0,4,0
2855.46191788,0,0,1,3
2860.48885894,0,0,0,1
2865.51188493,0,0,0,0
2870.53487301,0,0,0,0
